Name	last	absences	last.vote	first.vote	votings.absences	votings.n
Kruszewski Zbigniew	SLD	5108	X37493	X34028	151	3445
Krzywicki Piotr	Polska_Plus	4883	X33123	X29021	538	4057
Krzyśków Adam	PSL	458	X37493	X29021	458	8402
Krząkała Marek	PO	312	X37493	X29021	312	8402
Kuchciński Marek	PiS	583	X37493	X29021	583	8402
Kula Włodzimierz	PO	2833	X34814	X29021	166	5735
Kulas Jan	PO	178	X37493	X29021	178	8402
Kulesza Tomasz	PO	846	X37493	X29021	846	8402
Kuriata Jan	PO	435	X37493	X29021	435	8402
Kurski Jacek	PiS	5881	X32313	X29021	729	3250
Kutz Kazimierz	niez.	755	X37493	X29021	755	8402
Kwitek Marek	PiS	526	X37493	X29021	526	8402
Kłopotek Eugeniusz	PSL	528	X37493	X29021	528	8402
Kłosin Krystyna	PO	6166	X37493	X35236	13	2249
Kłosowski Sławomir	PiS	187	X37493	X29021	187	8402
Lamczyk Stanisław	PO	333	X37493	X29021	333	8402
Latos Tomasz	PiS	791	X37493	X29021	791	8402
Lenz Tomasz	PO	748	X37493	X29021	748	8402
Leszczyna Izabela	PO	624	X37493	X29021	624	8402
Libicki Jan Filip	PO	1283	X37493	X29303	1006	8125
Lipiec Krzysztof	PiS	356	X37493	X29021	356	8402
Lipiński Adam	PiS	1236	X37482	X29021	1225	8391
Lipiński Dariusz	PO	1063	X37493	X29021	1063	8402
Lis Bogdan	niez.	1760	X37492	X29021	1759	8401
Lisek Krzysztof	PO	5418	X32334	X29021	287	3271
Litwiński Arkadiusz	PO	941	X37493	X29021	941	8402
Machałek Marzena	PiS	303	X37355	X29021	165	8264
Maciejewski Krzysztof	PiS	1510	X37493	X29038	1494	8386
Macierewicz Antoni	PiS	605	X37493	X29021	605	8402
Malik Ewa	PiS	670	X37493	X29021	670	8402
Maliszewski Mirosław	PSL	2018	X37493	X29021	2018	8402
Marcinkiewicz Michał	PO	1596	X37272	X29021	1375	8181
Marianowska Barbara	PiS	2551	X37493	X29028	2545	8396
Martyniuk Wacław	SLD	1706	X37493	X29021	1706	8402
Masłowska Gabriela	PiS	531	X37493	X29021	531	8402
Masłowska Mirosława	PiS	734	X37493	X29021	734	8402
Materna Jerzy	PiS	304	X37364	X29021	175	8273
Matusik-Lipiec Katarzyna	PO	351	X37493	X29021	351	8402
Matuszczak Zbigniew	SLD	991	X37364	X29021	862	8273
Matuszewski Marek	PiS	186	X37493	X29021	186	8402
Matuszny Kazimierz	PiS	1139	X37364	X29021	1010	8273
Matwiejuk Jarosław	SLD	2509	X37172	X29021	2188	8081
Matyjaszczyk Krzysztof	SLD	3552	X34987	X29021	1055	5905
Mazurek Beata	PiS	512	X37493	X29021	512	8402
Małecka-Libera Beata	PO	477	X37493	X29021	477	8402
Michałkiewicz Krzysztof	PiS	1028	X37493	X29021	1028	8402
Mikulicz Janusz	PO	3441	X34817	X29021	777	5738
Milcarz Henryk	SLD	1756	X37493	X29021	1756	8402
Miodowicz Konstanty	PO	307	X37493	X29021	307	8402
Mojzesowicz Wojciech	PJN	1444	X37493	X29021	1444	8402
Moskal Kazimierz	PiS	97	X37493	X29021	97	8402
Motowidło Tadeusz	SLD	2543	X37272	X29021	2322	8181
Mroczek Czesław	PO	328	X37493	X29021	328	8402
Mrzygłocka Izabela Katarzyna	PO	20	X37493	X29021	20	8402
Mucha Joanna	PO	718	X37493	X29021	718	8402
Mularczyk Arkadiusz	PiS	1146	X37364	X29021	1017	8273
Musiał Jan	PO	34	X37493	X29021	34	8402
Mężydło Antoni	PO	59	X37493	X29021	59	8402
Młynarczyk Henryk	PiS	6301	X37172	X35050	13	2114
Młyńczak Aldona	PO	196	X37493	X29021	196	8402
Naguszewski Tadeusz	PO	42	X37493	X29021	42	8402
Namyślak Witold	PO	2565	X34921	X29021	5	5842
Napieralski Grzegorz	SLD	3728	X37364	X29021	3599	8273
Natalli-Świat Aleksandra	PiS	3942	X33876	X29021	346	4806
Neumann Sławomir	PO	229	X37493	X29021	229	8402
Niesiołowski Stefan	PO	74	X37493	X29021	74	8402
Nitras Sławomir	PO	5915	X32314	X29021	764	3251
Nowak Maria	PiS	1886	X37493	X29021	1886	8402
Nowak Sławomir	PO	5533	X34653	X29021	2705	5574
Nowak Tomasz Piotr	PO	18	X37493	X29021	18	8402
Nowakowski Andrzej	PO	2595	X35049	X29021	160	5967
Nykiel Mirosława	PO	471	X37493	X29021	471	8402
Okrągły Janina	PO	3329	X37493	X32372	21	5094
Okła-Drewnowicz Marzena	PO	261	X37493	X29021	261	8402
Olas Stanisław	PSL	800	X37493	X29021	800	8402
Olechowska Alicja	PO	289	X37493	X29021	289	8402
Olejniczak Danuta	PO	39	X37493	X29021	39	8402
Olejniczak Wojciech	Lewica	6499	X32334	X29021	1368	3271
Olendzka Halina	PiS	6441	X37493	X35050	474	2435
Olszewski Paweł	PO	607	X37493	X29021	607	8402
Opioła Marek	PiS	1032	X37493	X29021	1032	8402
Orzechowski Andrzej	PO	17	X37493	X29021	17	8402
Orzechowski Maciej	PO	74	X37493	X29021	74	8402
Orłowski Paweł	PO	5003	X37493	X34028	46	3445
Ostrowski Artur	SLD	823	X37493	X29021	823	8402
Osuch Jacek	PiS	484	X37493	X29021	484	8402
Owczarski Zbysław	PJN	3657	X37493	X32372	349	5094
Ołdakowski Jan	PJN	933	X37493	X29021	933	8402
Ołowski Piotr	PO	4786	X37493	X33656	201	3817
